TestID;Number of Peers;With Super-Peers;Total Duration from tracker-peer [s];Same PDF File;Total Received Bytes;Maximum Connection Time [s];Minimum Connection Time [s];Average Connection Time [s];Maximum Transfer Time [s];Minimum Transfer Time [s];Average Transfer Time [s];Maximum Total Time [s];Minimum Total Time [s];Average Total Time [s];Maximum Latency Error Rate [%];Minimum Latency Error Rate [%];Average Latency Error Rate [%];Maximum Bandwidth Error Rate [%];Minimum Bandwidth Error Rate [%];Average Bandwidth Error Rate [%]
Test1;51;true;30.29;;1042157;24.52;0.13;5.16;15.36;1.10;8.84;27.88;10.83;14.00;;;;;;
Test2;51;true;56.63;;3197743;42.88;0.12;11.17;47.05;2.64;26.89;53.01;33.20;38.07;;;;;;
Test3;51;true;89.26;;5269767;64.23;0.11;16.89;77.41;4.17;44.25;80.79;54.59;61.14;;;;;;
Test4;6;true;9.04;;1042157;6.18;0.11;1.33;2.65;0.47;1.35;6.65;1.30;2.69;;;;;;
Test5;6;true;6.40;;1042157;3.13;0.11;0.72;2.63;0.44;1.34;3.58;1.32;2.07;;;;;;
Test6;6;true;9.45;;1042157;6.17;0.11;1.32;2.64;0.46;1.35;6.63;1.30;2.67;;;;;;
Test7;6;true;9.29;;1042157;6.17;0.10;1.32;2.64;0.46;1.34;6.63;1.29;2.66;;;;;;
Test8;6;true;9.33;;1042157;6.17;0.10;1.31;2.66;0.46;1.34;6.63;1.29;2.66;;;;;;
Test9;6;true;9.30;;1042157;6.17;0.10;1.32;2.65;0.46;1.33;6.63;1.29;2.66;;;;;;
Test10;6;true;9.55;;1042157;6.16;0.10;1.32;2.64;0.46;1.34;6.62;1.29;2.66;;;;;;
Test11;6;true;81.01;;32116471;36.60;0.11;7.41;78.46;10.07;37.31;78.57;32.78;44.72;;;;;;
Test12;6;true;81.31;;32116471;36.58;0.10;7.40;78.45;10.07;37.31;78.57;32.78;44.72;;;;;;
Test13;6;true;6.48;;1042157;3.12;0.10;0.71;2.63;0.46;1.34;3.58;1.29;2.05;;;;;;
Test14;6;true;6.38;;1042157;3.16;0.10;0.72;2.64;0.46;1.33;3.63;1.29;2.06;;;;;;
Test15;6;true;9.51;;1042157;6.16;0.09;1.31;2.64;0.46;1.34;6.63;1.28;2.65;;;;;;
Test16;6;true;80.86;;32116471;36.59;0.11;8.03;78.46;10.07;37.32;78.60;32.80;45.36;;;;;;
Test17;6;true;81.04;;32116471;36.58;0.11;7.41;78.51;10.06;37.34;78.63;32.81;44.75;;;;;;
Test18;6;true;81.21;;32116471;36.59;0.11;7.40;78.46;10.07;37.32;78.57;32.80;44.73;;;;;;
Test19;6;true;81.32;;32116471;36.58;0.10;7.41;78.49;10.07;37.33;78.65;32.79;44.75;;;;;;
Test20;6;true;81.42;;32116471;36.55;0.11;7.40;78.47;10.06;37.32;78.59;32.79;44.72;;;;;;
Test21;6;true;10.54;;3197743;6.16;0.10;1.31;7.90;1.13;3.83;8.00;3.47;5.15;;;;;;
Test22;6;true;15.60;;5269767;9.21;0.10;1.93;12.96;1.76;6.23;13.08;5.57;8.17;;;;;;
Test23;6;true;28.96;;10705702;15.28;0.10;3.15;26.22;3.44;12.52;26.35;11.09;15.67;;;;;;
Test24;6;true;81.24;;32116471;36.56;0.11;7.40;78.45;10.05;37.32;78.58;32.80;44.73;;;;;;
Test25;6;true;81.11;;32116471;36.60;0.10;7.40;78.45;10.07;37.33;78.56;32.78;44.74;;;;;;
